,sample_size,accuracy
0,100,0.9650000000000002
1,200,0.9687499999999999
2,300,0.9758333333333334
3,400,0.9776250000000001
4,500,0.9773000000000002
5,600,0.9782499999999998
6,700,0.9784285714285713
7,800,0.9791250000000001
8,900,0.9800555555555556
9,1000,0.98005
10,1100,0.9818636363636365
11,1200,0.9799583333333333
12,1300,0.9799230769230769
13,1400,0.9807142857142856
14,1500,0.9796666666666667
15,1600,0.97915625
16,1700,0.9802647058823527
17,1800,0.98075
18,1900,0.9816315789473684
19,2000,0.98125
20,2100,0.981
21,2200,0.9813863636363637
22,2300,0.9800434782608696
23,2400,0.9806458333333332
24,2500,0.98064
25,2600,0.9802884615384613
26,2700,0.9806666666666668
27,2800,0.981357142857143
28,2900,0.9815172413793101
29,3000,0.9801666666666665
30,3100,0.9801451612903227
31,3200,0.9805468749999998
32,3300,0.9801666666666669
33,3400,0.9801764705882351
34,3500,0.9800571428571427
35,3600,0.980125
36,3700,0.9810945945945947
37,3800,0.9803552631578946
38,3900,0.9803461538461538
39,4000,0.9804124999999999
40,4100,0.9809268292682927
41,4200,0.9808809523809522
42,4300,0.9808372093023255
43,4400,0.9812386363636364
44,4500,0.9805333333333334
45,4600,0.9808152173913043
46,4700,0.9811808510638299
47,4800,0.9811145833333333
48,4900,0.9805306122448978
49,5000,0.9810099999999999
